sourcePath,label,href,resolvedPath,classification,status,notes
/blog,Read full article→,/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,INTERNAL,200,
/blog,,/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,INTERNAL,200,
/blog,Automation Is Not the Enemy,/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,INTERNAL,200,
/blog,Read full article→,/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,INTERNAL,200,
/blog,,/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL,200,
/blog,The New Creative Stack,/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL,200,
/blog,Read full article→,/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL,200,
/blog,,/post/solve-the-boring-problem-first,/post/solve-the-boring-problem-first,INTERNAL,200,
/blog,Solve the Boring Problem First,/post/solve-the-boring-problem-first,/post/solve-the-boring-problem-first,INTERNAL,200,
/blog,Read full article→,/post/solve-the-boring-problem-first,/post/solve-the-boring-problem-first,INTERNAL,200,
/blog,,/post/startups-dont-need-more-features,/post/startups-dont-need-more-features,INTERNAL,200,
/blog,Startups Don’t Need More Features,/post/startups-dont-need-more-features,/post/startups-dont-need-more-features,INTERNAL,200,
/blog,Read full article→,/post/startups-dont-need-more-features,/post/startups-dont-need-more-features,INTERNAL,200,
/blog,,/post/if-it-aint-broke-refine-it,/post/if-it-aint-broke-refine-it,INTERNAL,200,
/blog,If It Ain’t Broke… Refine It,/post/if-it-aint-broke-refine-it,/post/if-it-aint-broke-refine-it,INTERNAL,200,
/blog,Read full article→,/post/if-it-aint-broke-refine-it,/post/if-it-aint-broke-refine-it,INTERNAL,200,
/blog,,/post/dont-be-an-idiot-sandwich,/post/dont-be-an-idiot-sandwich,INTERNAL,200,
/blog,Don’t Be an Idiot Sandwich,/post/dont-be-an-idiot-sandwich,/post/dont-be-an-idiot-sandwich,INTERNAL,200,
/blog,Read full article→,/post/dont-be-an-idiot-sandwich,/post/dont-be-an-idiot-sandwich,INTERNAL,200,
/blog,,/post/do-something-useful,/post/do-something-useful,INTERNAL,200,
/blog,Do Something Useful,/post/do-something-useful,/post/do-something-useful,INTERNAL,200,
/blog,Read full article→,/post/do-something-useful,/post/do-something-useful,INTERNAL,200,
/blog,,/post/eat-the-rich,/post/eat-the-rich,INTERNAL,200,
/blog,Eat The Rich,/post/eat-the-rich,/post/eat-the-rich,INTERNAL,200,
/blog,Read full article→,/post/eat-the-rich,/post/eat-the-rich,INTERNAL,200,
/blog,,/post/startups-arent-a-family,/post/startups-arent-a-family,INTERNAL,200,
/blog,Startups Aren’t a Family,/post/startups-arent-a-family,/post/startups-arent-a-family,INTERNAL,200,
/blog,Read full article→,/post/startups-arent-a-family,/post/startups-arent-a-family,INTERNAL,200,
/blog,,/post/the-flex-package,/post/the-flex-package,INTERNAL,200,
/blog,The Flex Package,/post/the-flex-package,/post/the-flex-package,INTERNAL,200,
/blog,Read full article→,/post/the-flex-package,/post/the-flex-package,INTERNAL,200,
/blog,,/post/the-myth-of-the-perfect-hire,/post/the-myth-of-the-perfect-hire,INTERNAL,200,
/blog,The Myth of the Perfect Hire,/post/the-myth-of-the-perfect-hire,/post/the-myth-of-the-perfect-hire,INTERNAL,200,
/blog,Read full article→,/post/the-myth-of-the-perfect-hire,/post/the-myth-of-the-perfect-hire,INTERNAL,200,
/blog,,/post/resentment-is-a-symptom-of-poor-process,/post/resentment-is-a-symptom-of-poor-process,INTERNAL,200,
/blog,Resentment Is a Symptom of Poor Process,/post/resentment-is-a-symptom-of-poor-process,/post/resentment-is-a-symptom-of-poor-process,INTERNAL,200,
/blog,Read full article→,/post/resentment-is-a-symptom-of-poor-process,/post/resentment-is-a-symptom-of-poor-process,INTERNAL,200,
/blog,,/post/sell-the-slice-not-the-sauce,/post/sell-the-slice-not-the-sauce,INTERNAL,200,
/blog,"Sell the Slice, Not the Sauce",/post/sell-the-slice-not-the-sauce,/post/sell-the-slice-not-the-sauce,INTERNAL,200,
/blog,Read full article→,/post/sell-the-slice-not-the-sauce,/post/sell-the-slice-not-the-sauce,INTERNAL,200,
